,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
414,0.9808,0.43568,0.041855446,0.063709047,0.105564493,0.0019
415,0.981,0.42,0.03748927,0.065656196,0.103145466,0.0022
416,0.9812,0.40704,0.033506461,0.067657152,0.101163613,0.0025
417,0.9814,0.39452,0.029882145,0.069713369,0.099595515,0.0028
418,0.9816,0.38248,0.026592045,0.071826337,0.098418382,0.0031
419,0.9818,0.37096,0.023612589,0.073997572,0.09761016,0.0035
420,0.982,0.36,0.020921006,0.076228624,0.09714963,0.004
421,0.9822,0.35344,0.018495406,0.078521074,0.09701648,0.0046
422,0.9824,0.34732,0.016314839,0.080876532,0.097191371,0.0052
423,0.9826,0.34148,0.014359345,0.08329664,0.097655985,0.0058
424,0.9828,0.33576,0.012609991,0.08578307,0.098393061,0.0065
425,0.983,0.33,0.01104889,0.088337523,0.099386413,0.0073
426,0.9832,0.32176,0.009659211,0.090961729,0.10062094,0.0081
427,0.9834,0.31348,0.008425182,0.093657448,0.102082629,0.0089
428,0.9836,0.30532,0.007332077,0.096426465,0.103758543,0.0098
429,0.9838,0.29744,0.006366204,0.099270597,0.105636801,0.0107
430,0.984,0.29,0.005514871,0.102191683,0.107706553,0.0116
431,0.984136,0.28728,0.004766363,0.105191588,0.109957951,0.0126
432,0.984288,0.28504,0.004109903,0.108272204,0.112382107,0.0136
433,0.984472,0.28316,0.00353561,0.111435444,0.114971054,0.0146
434,0.984704,0.28152,0.003034459,0.114683244,0.117717703,0.0157
435,0.985,0.28,0.002598234,0.11801756,0.120615794,0.0168
436,0.98592,0.27768,0.002219478,0.121440367,0.123659846,0.018
437,0.9869,0.27544,0.001891452,0.124953659,0.126845111,0.0192
438,0.98792,0.27336,0.001608078,0.128559445,0.130167523,0.0204
439,0.98896,0.27152,0.0013639,0.132259746,0.133623647,0.0217
440,0.99,0.27,0.001154032,0.136056599,0.13721063,0.023
441,0.990872,0.27168,0.000974111,0.139952046,0.140926157,0.0243
442,0.991716,0.27364,0.000820258,0.143948141,0.1447684,0.0256
443,0.992524,0.27576,0.000689034,0.148046941,0.148735975,0.027
444,0.993288,0.27792,0.000577397,0.152250503,0.152827901,0.0284
445,0.994,0.28,0.000482668,0.156560888,0.157043557,0.0298
446,0.994272,0.28008,0.000402494,0.16098015,0.161382644,0.0313
447,0.994496,0.28004,0.000334813,0.165510338,0.165845151,0.0329
448,0.994684,0.27996,0.000277827,0.170153491,0.170431318,0.0345
449,0.994848,0.27992,0.00022997,0.174911634,0.175141604,0.0362
450,0.995,0.28,0.000189885,0.179786775,0.17997666,0.038
451,0.995168,0.28176,0.000156397,0.1847809,0.184937297,0.0398
